Collection Year,Collection Agency,Collection Name,OBS Gear Code,FMP Area,Reporting Area,ADFG Region,ADFG Statistical Area,Agency Species Code Type,Species Code,Species Group Code,Species Group Name,Number Animals,Weight,Record Count,Contact,Date Received from AKR
2016,ADFG,Large-Mesh Trawl Survey,6,BS,519,Westward ,655406,AKR,172,ROCK,Other Rockfish,23,9.87,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2020-10-18 19:00:01
2016,ADFG,Large-Mesh Trawl Survey,6,BS,519,Westward ,665335,AKR,172,ROCK,Other Rockfish,4,3,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2020-10-18 19:00:01
2016,ADFG,Large-Mesh Trawl Survey,6,BS,519,Westward ,665403,AKR,172,ROCK,Other Rockfish,6,5.87,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2020-10-18 19:00:01
2016,ADFG,Sport Fishery,,AI,541,,,AKR,145,ROCK,Other Rockfish,1,4,1,"Scott Meyer,  ADFG, scott.meyer@alaska.gov",2020-10-18 19:00:01
2016,ADFG,Sport Fishery,,AI,541,,,AKR,172,ROCK,Other Rockfish,6,9,1,"Scott Meyer,  ADFG, scott.meyer@alaska.gov",2020-10-18 19:00:01
2016,ADFG,Sport Fishery,,BS,519,,,AKR,145,ROCK,Other Rockfish,5,16,1,"Scott Meyer,  ADFG, scott.meyer@alaska.gov",2020-10-18 19:00:01
2016,ADFG,Sport Fishery,,BS,519,,,AKR,172,ROCK,Other Rockfish,23,36,1,"Scott Meyer,  ADFG, scott.meyer@alaska.gov",2020-10-18 19:00:01
2016,IPHC,IPHC Annual Longline Survey,8,AI,541,,,AKR,143,ROCK,Other Rockfish,,28,1,"Jason Gasper, NMFS, jason.gasper@noaa.gov",2020-10-18 19:00:01
2016,IPHC,IPHC Annual Longline Survey,8,AI,542,,,AKR,143,ROCK,Other Rockfish,,64,1,"Jason Gasper, NMFS, jason.gasper@noaa.gov",2020-10-18 19:00:01
2016,IPHC,IPHC Annual Longline Survey,8,AI,543,,,AKR,143,ROCK,Other Rockfish,,41,1,"Jason Gasper, NMFS, jason.gasper@noaa.gov",2020-10-18 19:00:01
