species_code,year,length,frequency,source
30020,2002,13,1,BSAI fishery
30020,2002,14,1,BSAI fishery
30020,2002,17,1,BSAI fishery
30020,2002,18,1,BSAI fishery
30020,2002,20,1,BSAI fishery
30020,2002,20,1,BSAI fishery
30020,2002,20,1,BSAI fishery
30020,2002,20,2,BSAI fishery
30020,2002,21,1,BSAI fishery
30020,2002,21,1,BSAI fishery
30020,2002,21,1,BSAI fishery
30020,2002,21,1,BSAI fishery
30020,2002,21,2,BSAI fishery
30020,2002,22,2,BSAI fishery
30020,2002,22,1,BSAI fishery
30020,2002,22,1,BSAI fishery
30020,2002,22,1,BSAI fishery
30020,2002,22,1,BSAI fishery
30020,2002,23,1,BSAI fishery
30020,2002,23,1,BSAI fishery
30020,2002,23,1,BSAI fishery
30020,2002,23,1,BSAI fishery
30020,2002,23,1,BSAI fishery
30020,2002,24,1,BSAI fishery
30020,2002,24,1,BSAI fishery
30020,2002,25,1,BSAI fishery
30020,2002,25,1,BSAI fishery
30020,2002,25,1,BSAI fishery
30020,2002,26,1,BSAI fishery
30020,2002,26,1,BSAI fishery
30020,2002,26,1,BSAI fishery
30020,2002,26,1,BSAI fishery
30020,2002,26,1,BSAI fishery
30020,2002,26,1,BSAI fishery
30020,2002,26,2,BSAI fishery
30020,2002,26,2,BSAI fishery
30020,2002,26,1,BSAI fishery
30020,2002,27,1,BSAI fishery
30020,2002,27,1,BSAI fishery
30020,2002,27,1,BSAI fishery
30020,2002,27,1,BSAI fishery
30020,2002,27,1,BSAI fishery
30020,2002,27,1,BSAI fishery
30020,2002,28,1,BSAI fishery
30020,2002,28,1,BSAI fishery
30020,2002,28,1,BSAI fishery
30020,2002,28,1,BSAI fishery
30020,2002,28,1,BSAI fishery
30020,2002,28,1,BSAI fishery
30020,2002,28,1,BSAI fishery
30020,2002,29,1,BSAI fishery
30020,2002,29,1,BSAI fishery
30020,2002,29,1,BSAI fishery
30020,2002,29,1,BSAI fishery
30020,2002,29,1,BSAI fishery
30020,2002,29,1,BSAI fishery
30020,2002,29,1,BSAI fishery
30020,2002,29,1,BSAI fishery
30020,2002,29,1,BSAI fishery
30020,2002,29,1,BSAI fishery
30020,2002,29,1,BSAI fishery
30020,2002,30,1,BSAI fishery
30020,2002,30,1,BSAI fishery
30020,2002,30,3,BSAI fishery
30020,2002,30,2,BSAI fishery
30020,2002,30,1,BSAI fishery
30020,2002,30,1,BSAI fishery
30020,2002,30,1,BSAI fishery
30020,2002,30,1,BSAI fishery
30020,2002,30,1,BSAI fishery
30020,2002,30,2,BSAI fishery
30020,2002,30,2,BSAI fishery
30020,2002,30,1,BSAI fishery
30020,2002,30,2,BSAI fishery
30020,2002,30,1,BSAI fishery
30020,2002,31,1,BSAI fishery
30020,2002,31,3,BSAI fishery
30020,2002,31,3,BSAI fishery
30020,2002,31,2,BSAI fishery
30020,2002,31,1,BSAI fishery
30020,2002,31,1,BSAI fishery
30020,2002,31,1,BSAI fishery
30020,2002,31,1,BSAI fishery
30020,2002,31,1,BSAI fishery
30020,2002,31,1,BSAI fishery
30020,2002,31,1,BSAI fishery
30020,2002,31,1,BSAI fishery
30020,2002,31,1,BSAI fishery
30020,2002,31,1,BSAI fishery
30020,2002,31,1,BSAI fishery
30020,2002,31,1,BSAI fishery
30020,2002,32,1,BSAI fishery
30020,2002,32,1,BSAI fishery
30020,2002,32,1,BSAI fishery
30020,2002,32,1,BSAI fishery
30020,2002,32,1,BSAI fishery
30020,2002,32,1,BSAI fishery
30020,2002,32,1,BSAI fishery
30020,2002,32,1,BSAI fishery
30020,2002,32,1,BSAI fishery
30020,2002,32,1,BSAI fishery
30020,2002,32,1,BSAI fishery
30020,2002,32,1,BSAI fishery
30020,2002,32,1,BSAI fishery
30020,2002,32,1,BSAI fishery
30020,2002,32,1,BSAI fishery
30020,2002,32,1,BSAI fishery
30020,2002,32,1,BSAI fishery
30020,2002,32,1,BSAI fishery
30020,2002,32,1,BSAI fishery
30020,2002,32,1,BSAI fishery
30020,2002,32,2,BSAI fishery
30020,2002,33,1,BSAI fishery
30020,2002,33,1,BSAI fishery
30020,2002,33,1,BSAI fishery
