SURVEY,YEAR,STRATUM,LENGTH,SPECIES_CODE,FREQUENCY
AI,2006,721,47,30152,5476
AI,2006,314,21,30020,120632
AI,2006,314,39,30020,165729
AI,2006,314,23,30020,281470
AI,2006,314,30,30020,255012
AI,2006,324,37,30020,29326
AI,2006,324,59,30020,9368
AI,2006,222,41,30152,3125
AI,2016,594,22,30020,98227
AI,2016,594,32,30020,49114
AI,2016,594,40,30020,98227
AI,2016,222,44,30020,2020
AI,2016,224,26,30020,162991
AI,2016,624,31,30020,87435
AI,2016,793,29,30020,15150
AI,2016,794,28,30020,181631
AI,1997,794,20,30020,32331
AI,1997,794,30,30020,246492
AI,1997,794,40,30020,58998
AI,1997,794,15,30020,16166
AI,1997,794,16,30020,21416
AI,1997,794,19,30020,16166
AI,1997,794,21,30020,48497
AI,1997,794,22,30020,21416
AI,1997,794,23,30020,75163
AI,1997,794,24,30020,145077
AI,1997,794,25,30020,284903
AI,1997,794,26,30020,273988
AI,1997,794,27,30020,268737
AI,1997,794,28,30020,381068
AI,1997,794,29,30020,219825
AI,1997,794,31,30020,144662
AI,1997,794,32,30020,64248
AI,1997,794,33,30020,144662
AI,1997,794,34,30020,128496
AI,1997,794,35,30020,171328
AI,1997,794,36,30020,107080
AI,2004,223,48,30020,2973
AI,2004,223,54,30020,4581
AI,2016,614,40,30020,10044
AI,2016,324,16,30020,15585
AI,2016,212,56,30020,19161
AI,2016,613,40,30020,5013
AI,2016,614,12,30020,17346
AI,2004,222,51,30020,2126
AI,2004,222,59,30020,2126
AI,2004,222,34,30152,2499
AI,2004,222,41,30152,2019
AI,2004,222,42,30152,3102
AI,2004,222,44,30152,3003
AI,2004,222,45,30152,8173
AI,2004,222,47,30152,3102
AI,1997,794,37,30020,149912
AI,1997,794,38,30020,80414
AI,1997,794,39,30020,123246
AI,1997,794,41,30020,85664
AI,1997,794,42,30020,101830
AI,1997,794,43,30020,42832
AI,1997,794,45,30020,42832
AI,1997,794,48,30020,21416
AI,1997,794,61,30020,16166
AI,2016,721,23,30152,6492
AI,2016,224,43,30020,67610
AI,2016,214,36,30020,223696
AI,2016,794,27,30020,208671
AI,2006,413,26,30020,62009
AI,2006,414,24,30020,106958
AI,2006,224,18,30020,196422
AI,2006,414,36,30020,21663
AI,2006,721,43,30152,82134
AI,2006,722,40,30152,5306
AI,2006,793,27,30020,16814
AI,2006,612,40,30152,11513
AI,2006,421,30,30152,22393
AI,2016,721,26,30152,17861
AI,2016,624,36,30020,31748
AI,2016,414,27,30020,209484
AI,2016,414,29,30020,314226
AI,2016,793,43,30020,2979
AI,2016,222,46,30020,1992
AI,2016,614,23,30020,294878
AI,2016,614,27,30020,104075
AI,2016,313,38,30020,20639
AI,2016,321,26,30020,9059
AI,2006,594,48,30020,11282
AI,2006,614,35,30020,115368
AI,2006,614,46,30020,19775
AI,2006,612,25,30020,14862
AI,2006,324,15,30020,39318
AI,2006,413,23,30020,26252
AI,2006,223,29,30020,3507
AI,2006,223,37,30020,3507
AI,2006,313,56,30020,10345
AI,2006,224,12,30020,39284
AI,2006,224,17,30020,39284
AI,2006,224,53,30020,20629
AI,2006,793,35,30020,5605
AI,2006,424,43,30020,30136
AI,2006,214,33,30020,467737
AI,2006,213,29,30020,139379
AI,2006,213,53,30020,5944
AI,2006,214,13,30020,10000
AI,2006,214,51,30020,49511
AI,2006,214,26,30020,478905
AI,2006,212,37,30020,22838
AI,2006,414,45,30020,10831
AI,2006,223,38,30020,3507
AI,2006,414,32,30020,156378
AI,2006,413,45,30020,5813
AI,2006,413,55,30020,2924
AI,2006,324,49,30020,19005
AI,2006,212,34,30020,69398
AI,2006,594,47,30020,10325
AI,2006,214,17,30020,62572
AI,2006,224,28,30020,579468
AI,2006,413,34,30020,52510
AI,2006,324,22,30020,29700
AI,2006,313,34,30020,122707
AI,2006,312,25,30020,17890
AI,2006,323,43,30152,1898
AI,2006,794,54,30020,6022
AI,2006,794,42,30020,12697
AI,2006,312,48,30152,17397
AI,2016,223,20,30020,11296
AI,2016,213,45,30020,47765
AI,2016,422,35,30152,14207
AI,2016,223,33,30020,7442
AI,2016,423,39,30020,7834
AI,2016,423,49,30020,3917
AI,2006,414,51,30020,18616
AI,2016,613,56,30020,5421
AI,2016,422,40,30020,2537
AI,2016,214,44,30020,123874
AI,2016,424,31,30020,38993
AI,2016,414,33,30020,218651
AI,2016,794,58,30020,17139
AI,2016,323,34,30020,9135
AI,2016,314,29,30020,129112
AI,2016,324,36,30020,11248
AI,2016,323,42,30020,1311
AI,2016,621,40,30152,10791
AI,2016,323,50,30020,2693
AI,2016,413,57,30020,2502
AI,2016,412,44,30152,25028
AI,2016,212,40,30020,128834
AI,2016,313,29,30020,144472
AI,2016,624,48,30020,31748
AI,2016,624,49,30020,31748
AI,1997,793,30,30020,11430
AI,1997,793,50,30020,3810
