SURVEY,YEAR,SPECIES_CODE,BIOMASS,VAR
EBS_SHELF,1989,30535,0,0
EBS_SHELF,1990,30535,0,0
EBS_SHELF,1991,30535,0,0
EBS_SHELF,1992,30535,0,0
EBS_SHELF,2009,30152,121.56,4939.5792
EBS_SHELF,2005,30150,0,0
EBS_SHELF,2006,30150,0,0
EBS_SHELF,2010,30152,52.19,2723.5343
EBS_SHELF,2011,30152,55.82,3116.0498
EBS_SHELF,2012,30152,36.63,1341.8309
EBS_SHELF,2000,30535,0,0
EBS_SHELF,2001,30535,0,0
EBS_SHELF,2002,30535,0,0
EBS_SHELF,2007,30150,0,0
EBS_SHELF,2008,30150,0,0
EBS_SHELF,2013,30152,39.73,1578.848
EBS_SHELF,2014,30152,28.25,797.9894
EBS_SHELF,2015,30152,142.91,20422.5609
EBS_SHELF,1993,30535,0,0
EBS_SHELF,2016,30152,20.06,402.2318
EBS_SHELF,1994,30535,0,0
EBS_SHELF,1995,30535,0,0
EBS_SHELF,1996,30535,0,0
EBS_SHELF,2017,30152,169.32,15140.1885
EBS_SHELF,2018,30152,1592.69,1242751.4219
EBS_SHELF,2019,30152,0,0
EBS_SHELF,2009,30150,0,0
EBS_SHELF,2010,30150,0,0
EBS_SHELF,2011,30150,0,0
EBS_SHELF,2012,30150,0,0
EBS_SHELF,1982,30535,0,0
EBS_SHELF,1983,30535,0,0
EBS_SHELF,1984,30535,17.75,315.1367
EBS_SHELF,1997,30535,0,0
EBS_SHELF,1998,30535,0,0
EBS_SHELF,1999,30535,0,0
EBS_SHELF,2013,30150,0,0
EBS_SHELF,2002,30152,0,0
EBS_SHELF,2003,30152,55.35,1495.4727
EBS_SHELF,2004,30152,0,0
EBS_SHELF,1985,30535,0,0
EBS_SHELF,2014,30150,0,0
EBS_SHELF,2015,30150,0,0
EBS_SHELF,2016,30150,0,0
EBS_SHELF,1986,30535,0,0
EBS_SHELF,1987,30535,0,0
EBS_SHELF,1988,30535,0,0
EBS_SHELF,2001,30150,0,0
EBS_SHELF,2002,30150,0,0
EBS_SHELF,2003,30150,0,0
EBS_SHELF,2004,30150,0,0
EBS_SHELF,2005,30152,36.32,1319.1748
EBS_SHELF,2006,30152,356.64,91264.8934
EBS_SHELF,2007,30152,0,0
EBS_SHELF,2008,30152,0,0
EBS_SHELF,2019,30150,0,0
EBS_SHELF,2015,30535,0,0
EBS_SHELF,2016,30535,0,0
EBS_SHELF,2017,30535,0,0
EBS_SHELF,2004,30535,0,0
EBS_SHELF,2018,30535,0,0
EBS_SHELF,1994,30152,0,0
EBS_SHELF,1995,30152,0,0
EBS_SHELF,1996,30152,35.63,1269.4358
EBS_SHELF,2005,30535,0,0
EBS_SHELF,2006,30535,0,0
EBS_SHELF,2007,30535,0,0
EBS_SHELF,1997,30152,0,0
EBS_SHELF,1982,30152,0,0
EBS_SHELF,1983,30152,0,0
EBS_SHELF,1984,30152,0,0
EBS_SHELF,1985,30152,0,0
EBS_SHELF,2019,30535,0,0
EBS_SHELF,1998,30152,537.59,133355.6633
EBS_SHELF,1999,30152,397.58,88955.8431
EBS_SHELF,2000,30152,0,0
EBS_SHELF,2001,30152,0,0
EBS_SHELF,2008,30535,0,0
EBS_SHELF,2009,30535,0,0
EBS_SHELF,2010,30535,4.76,22.6728
EBS_SHELF,2011,30535,0,0
EBS_SHELF,1986,30152,0,0
EBS_SHELF,1987,30152,0,0
EBS_SHELF,1988,30152,0,0
EBS_SHELF,1989,30152,0,0
EBS_SHELF,2012,30535,0,0
EBS_SHELF,2013,30535,0,0
EBS_SHELF,2014,30535,0,0
EBS_SHELF,1990,30152,0,0
EBS_SHELF,1991,30152,0,0
EBS_SHELF,1992,30152,0,0
EBS_SHELF,1993,30152,0,0
EBS_SHELF,2003,30535,0,0
EBS_SHELF,2017,30150,0,0
EBS_SHELF,2018,30150,0,0
EBS_SHELF,2000,30150,0,0
EBS_SHELF,1989,30150,0,0
EBS_SHELF,1990,30150,0,0
EBS_SHELF,1991,30150,857.4,653352.7356
EBS_SHELF,1992,30150,13.75,188.9268
EBS_SHELF,1982,30150,0,0
EBS_SHELF,1983,30150,0,0
EBS_SHELF,1984,30150,0,0
EBS_SHELF,1993,30150,86.07,7408.2826
EBS_SHELF,1994,30150,46.61,2172.4267
EBS_SHELF,1995,30150,75.58,2819.253
EBS_SHELF,1996,30150,0,0
EBS_SHELF,1985,30150,36.17,1308.2141
EBS_SHELF,1986,30150,0,0
EBS_SHELF,1987,30150,49.72,2472.0651
EBS_SHELF,1988,30150,0,0
EBS_SHELF,1997,30150,126.24,15935.8139
EBS_SHELF,1998,30150,0,0
EBS_SHELF,1999,30150,0,0
