year,species,species_name,sample_number,sample_size,sample_weight,extrapolated_weight,extrapolated_number,percent_retained,gear_type,latdd_start,londd_start,nmfs_area,haul_join
2015,350,SHORTSPINE THORNYHEAD,3,4194,5.76,12.48,8,100,8,56.12167,-170.35167,521,20297003672e9
2015,350,SHORTSPINE THORNYHEAD,1,4977,1.66,4.64,3,0,8,56.195,-170.75167,521,20297003672e9
2015,349,THORNYHEAD ROCKFISH UNIDENT,19,4977,0,97.61,54,100,8,56.115,-170.42833,521,20297003672e9
2015,350,SHORTSPINE THORNYHEAD,5,4977,6.96,21.39,14,100,8,56.115,-170.42833,521,20297003672e9
2015,349,THORNYHEAD ROCKFISH UNIDENT,149,4977,0,765.48,426,100,8,56.13167,-170.51167,521,20297003672e9
2015,350,SHORTSPINE THORNYHEAD,5,4977,6.85,21.39,14,100,8,56.13167,-170.51167,521,20297003672e9
2008,350,SHORTSPINE THORNYHEAD,1,15,2.2,5.7,3,100,6,53.62972,-167.89361,518,116730036990001e5
2008,350,SHORTSPINE THORNYHEAD,1,18,2,5.49,3,100,6,53.62222,-167.62306,518,116730036990001e5
2011,350,SHORTSPINE THORNYHEAD,1,15,1.1,3.63,3,0,6,53.63389,-168.00056,518,142160036990001e5
2011,350,SHORTSPINE THORNYHEAD,2,15,2.6,7.25,6,0,6,53.72722,-167.61056,518,142160036990001e5
2011,350,SHORTSPINE THORNYHEAD,1,15,0.6,3.86,3,0,6,53.61028,-167.92333,518,142160036990001e5
2011,350,SHORTSPINE THORNYHEAD,2,16,2.4,6.65,6,0,6,53.61639,-168.12611,518,142160036990001e5
2011,350,SHORTSPINE THORNYHEAD,1,15,1.4,4.01,3,0,6,53.67278,-167.56972,518,142160036990001e5
2008,350,SHORTSPINE THORNYHEAD,1,543,0.33,50.78,154,100,1,52.33333,174.46667,543,12137002443e9
2008,350,SHORTSPINE THORNYHEAD,15,1376,10.99,52.7,47,93,8,51.20389,-178.93556,542,11841001695e9
2008,350,SHORTSPINE THORNYHEAD,29,1548,35.37,106.41,87,92,8,51.14278,-179.005,542,11841001695e9
2009,350,SHORTSPINE THORNYHEAD,2,27,2.4,6.87,4,100,6,53.59056,-167.75278,518,128080014450001e5
