YEAR,NMFS_AREA,GEAR,SPECIES_CODE,LENGTH,SEX,FREQUENCY,SAMPLE_SYSTEM
2002,542,1,330,35,F,1,NA
2002,542,1,330,36,F,1,NA
2002,542,1,330,39,F,4,NA
2002,541,1,330,40,F,1,NA
2002,541,1,330,42,F,3,NA
2002,541,1,330,44,F,2,NA
2002,541,1,330,45,F,1,NA
2002,541,1,330,40,M,1,NA
2002,541,1,330,41,M,1,NA
2002,541,1,330,42,M,1,NA
2002,541,1,330,43,M,3,NA
2002,541,1,330,44,M,5,NA
2002,541,1,330,48,M,1,NA
2002,541,1,330,49,M,1,NA
2002,542,1,330,42,F,2,NA
2002,542,1,330,43,F,1,NA
2002,542,1,330,44,F,3,NA
2002,542,1,330,46,F,1,NA
2002,542,1,330,47,F,2,NA
2002,542,1,330,48,F,1,NA
2002,542,1,330,40,M,2,NA
2002,542,1,330,42,M,1,NA
2002,542,1,330,43,M,2,NA
2002,542,1,330,44,M,2,NA
2002,542,1,330,45,M,1,NA
2002,542,1,330,46,M,2,NA
2002,541,1,330,39,F,1,NA
2002,541,1,330,40,F,1,NA
2002,541,1,330,41,F,2,NA
2002,541,1,330,42,F,4,NA
2002,541,1,330,43,F,2,NA
2002,541,1,330,44,F,4,NA
2002,541,1,330,40,M,1,NA
2002,541,1,330,41,M,2,NA
2002,541,1,330,42,M,2,NA
2002,541,1,330,43,M,4,NA
2002,541,1,330,44,M,1,NA
2002,541,1,330,46,M,1,NA
2010,541,1,330,44,M,1,10
2011,541,1,330,45,F,1,10
2016,541,1,330,45,F,1,10
2009,541,1,330,42,M,1,2
2009,541,1,330,44,M,1,2
2009,541,1,330,41,F,1,2
2009,541,1,330,45,F,1,2
2009,541,1,330,48,F,1,2
2009,541,1,330,49,F,1,2
2009,541,1,330,40,M,1,2
2009,541,1,330,45,M,1,2
2009,541,1,330,41,M,1,2
2009,541,1,330,48,M,1,2
2009,541,1,330,39,M,1,2
2009,541,1,330,44,F,1,2
2010,541,1,330,47,M,1,10
2010,541,1,330,42,M,1,10
2016,541,1,330,46,M,1,10
2016,541,1,330,45,F,1,10
2016,541,1,330,44,M,1,10
2016,541,1,330,43,F,1,10
2016,541,1,330,44,F,1,10
2016,541,1,330,45,F,1,10
2016,541,1,330,43,F,1,10
2016,541,1,330,43,F,1,10
2016,541,1,330,45,M,1,10
2016,541,1,330,44,F,1,10
2016,541,1,330,50,F,1,10
2016,541,1,330,46,F,1,10
2016,541,1,330,52,F,1,10
2016,541,1,330,42,M,1,10
2016,541,1,330,46,M,1,10
2016,541,1,330,43,M,1,10
2016,541,1,330,48,F,1,10
2016,541,1,330,43,F,1,10
2016,541,1,330,45,F,1,10
2016,541,1,330,41,M,1,10
2016,541,1,330,45,F,1,10
2016,541,1,330,44,M,1,10
2016,541,1,330,40,F,1,10
2016,541,1,330,42,F,1,10
2016,541,1,330,46,F,1,10
2016,541,1,330,46,M,1,10
2016,541,1,330,47,M,1,10
2016,541,1,330,40,F,1,10
2016,541,1,330,42,F,1,10
2016,541,1,330,41,F,1,10
2010,542,1,330,44,M,1,10
2010,542,1,330,39,F,1,10
2010,542,1,330,46,F,1,10
2004,541,1,330,37,F,1,NA
2004,541,1,330,40,F,1,NA
2004,541,1,330,41,F,1,NA
2004,541,1,330,42,F,1,NA
2004,541,1,330,43,F,3,NA
2004,541,1,330,45,F,2,NA
2004,541,1,330,46,F,1,NA
2004,541,1,330,38,M,1,NA
2004,541,1,330,39,M,1,NA
2004,541,1,330,42,M,2,NA
2004,541,1,330,43,M,2,NA
