SURVEY,YEAR,AREA_CODE,SPECIES_CODE,BIOMASS,VAR
AI,2016,799,30152,216.8,13815.3826882787
AI,1994,3499,30560,0,0
AI,1994,5699,30560,1.3,1.80705640746099
AI,2002,3499,30020,5454.3,1143427.37679747
AI,1991,3499,30020,907.6,97711.7648493467
AI,2006,799,30535,7.4,14.1019028203008
AI,1994,3499,30475,0,0
AI,1994,299,30475,0,0
AI,1994,299,30560,0,0
AI,2004,299,30475,1.1,1.25241831102181
AI,1991,799,30560,2.6,6.40109213971494
AI,1991,299,30020,5131,2069034.28010818
AI,1991,799,30150,57.6,2567.07154876971
AI,1983,3499,30475,0,0
AI,1983,299,30560,0,0
AI,2016,5699,30152,177.3,19386.3909205987
AI,2016,299,30560,0.4,0.180483662085983
AI,2016,799,30535,1,1.09960975677721
AI,2004,299,30535,404.2,147619.3571314
AI,2004,3499,30152,389.2,58348.9654668064
AI,2000,5699,30475,0,0
AI,2000,799,30535,0,0
AI,2004,799,30020,945.4,275954.786614506
AI,2004,799,30535,4166.7,17155555.6267975
AI,2004,5699,30535,1.7,2.82776973184962
AI,2004,3499,30020,4354.2,985309.977114091
AI,2004,799,30152,1358.6,1517026.03100116
AI,1986,299,30150,1.6,2.68185369505454
AI,1980,5699,30560,0,0
AI,1997,799,30152,138.3,3990.14346927349
AI,1997,5699,30535,5.4,14.7304059985855
AI,1994,5699,30150,7,17.6878092293687
AI,1994,799,30150,98.8,2415.3880845174
AI,2018,299,30535,7.4,10.4982167830695
AI,2018,299,30152,88.6,972.508273629873
AI,2002,3499,30152,334.1,23867.2915142529
AI,2002,3499,30535,12.5,121.836007062255
AI,2002,5699,30020,543.3,75654.7748048728
AI,2002,3499,30560,0,0
AI,2002,799,30560,0,0
AI,2002,299,30560,0,0
AI,1980,3499,30475,0,0
AI,1980,5699,30535,0,0
AI,1986,799,30560,0,0
AI,1983,5699,30150,863.7,598.568458224672
AI,2006,5699,30475,4.7,21.6533420667671
AI,2010,299,30152,6.8,45.7507264208534
AI,2010,299,30020,12102.5,7761429.89999125
AI,2010,3499,30020,5107.6,408104.275707998
AI,2018,5699,30152,238.3,16732.304470176
AI,2018,299,30475,0.8,0.722208879247543
AI,2018,3499,30152,568.9,69139.1512462454
AI,2018,3499,30535,8.2,67.6290726905784
AI,1994,799,30475,0,0
AI,2002,5699,30560,0,0
AI,2002,299,30535,0,0
AI,2002,3499,30475,0,0
AI,1991,299,30150,12.5,157.186432142238
AI,2006,799,30020,967.9,281672.348213815
AI,2006,5699,30535,15.3,235.151430343498
AI,1986,799,30020,422.8,22612.7380088904
AI,2010,3499,30475,3.1,9.45636169002998
AI,2010,5699,30152,221.6,5593.70230448901
AI,1994,799,30560,0.7,0.517977865039249
AI,1994,3499,30020,1554.2,179230.288110913
AI,2006,5699,30560,0,0
AI,1991,5699,30020,114.7,3205.51734060512
AI,1991,799,30020,187.4,11725.0186851253
AI,1991,299,30560,0,0
AI,1991,299,30475,0,0
AI,2006,3499,30475,0,0
AI,2016,3499,30475,9.9,98.5138024913173
AI,2016,299,30475,0,0
AI,2016,5699,30535,0,0
AI,2006,799,30475,0,0
AI,2006,299,30560,0,0
AI,2004,3499,30535,90,6876.59137016581
AI,2004,5699,30152,92.7,1309.94945627951
AI,2004,5699,30020,978.7,196060.760827139
AI,2004,799,30560,2.7,7.02950482933759
AI,2004,3499,30475,4.2,17.9007389879471
AI,2004,299,30560,0,0
AI,1980,5699,30020,32.2,169.242791226435
AI,1980,3499,30020,386.9,17505.9677004842
AI,1980,5699,30150,21.7,255.993372165693
AI,1980,799,30150,13.1,172.612557297085
AI,1980,3499,30560,0.5,0.246328246020348
AI,1986,299,30020,4097.5,1193503.84278862
