Collection Year,Collection Agency,Collection Name,OBS Gear Code,FMP Area,Reporting Area,ADFG Region,ADFG Statistical Area,Agency Species Code Type,Species Code,Species Group Code,Species Group Name,Number Animals,Weight,Record Count,Contact,Date Received from AKR
2004,NMFS,AFSC Annual Longline Survey,,AI,541,,,AKR,143,ROCK,Other Rockfish,883,1047.949,1,"Cara Rodgveller , NMFS, cara.rodgveller@noaa.gov",2022-10-17 06:00:18
2004,NMFS,AFSC Annual Longline Survey,,AI,541,,,AKR,177,ROCK,Other Rockfish,6,10.661,1,"Cara Rodgveller , NMFS, cara.rodgveller@noaa.gov",2022-10-17 06:00:18
2004,NMFS,AFSC Annual Longline Survey,,AI,541,,,AKR,185,ROCK,Other Rockfish,3,3.475,1,"Cara Rodgveller , NMFS, cara.rodgveller@noaa.gov",2022-10-17 06:00:18
2004,NMFS,AFSC Annual Longline Survey,,AI,542,,,AKR,139,ROCK,Other Rockfish,3,3.64,1,"Cara Rodgveller , NMFS, cara.rodgveller@noaa.gov",2022-10-17 06:00:18
2004,NMFS,AFSC Annual Longline Survey,,AI,542,,,AKR,143,ROCK,Other Rockfish,363,402.032,1,"Cara Rodgveller , NMFS, cara.rodgveller@noaa.gov",2022-10-17 06:00:18
2004,NMFS,AFSC Annual Longline Survey,,AI,542,,,AKR,177,ROCK,Other Rockfish,1,1.777,1,"Cara Rodgveller , NMFS, cara.rodgveller@noaa.gov",2022-10-17 06:00:18
2005,NMFS,AFSC Annual Longline Survey,,BS,517,,,AKR,143,ROCK,Other Rockfish,117,160.374,1,"Cara Rodgveller , NMFS, cara.rodgveller@noaa.gov",2022-10-17 06:00:18
2005,NMFS,AFSC Annual Longline Survey,,BS,518,,,AKR,143,ROCK,Other Rockfish,583,771.297,1,"Cara Rodgveller , NMFS, cara.rodgveller@noaa.gov",2022-10-17 06:00:18
2005,NMFS,AFSC Annual Longline Survey,,BS,518,,,AKR,172,ROCK,Other Rockfish,1,1.349,1,"Cara Rodgveller , NMFS, cara.rodgveller@noaa.gov",2022-10-17 06:00:18
2005,NMFS,AFSC Annual Longline Survey,,BS,521,,,AKR,143,ROCK,Other Rockfish,222,244.096,1,"Cara Rodgveller , NMFS, cara.rodgveller@noaa.gov",2022-10-17 06:00:18
2005,NMFS,AFSC Annual Longline Survey,,BS,521,,,AKR,172,ROCK,Other Rockfish,15,20.228,1,"Cara Rodgveller , NMFS, cara.rodgveller@noaa.gov",2022-10-17 06:00:18
2005,NMFS,AFSC Annual Longline Survey,,BS,523,,,AKR,143,ROCK,Other Rockfish,139,165.008,1,"Cara Rodgveller , NMFS, cara.rodgveller@noaa.gov",2022-10-17 06:00:18
2006,NMFS,AFSC Annual Longline Survey,,AI,541,,,AKR,143,ROCK,Other Rockfish,1064,1273.636,1,"Cara Rodgveller , NMFS, cara.rodgveller@noaa.gov",2022-10-17 06:00:18
2006,NMFS,AFSC Annual Longline Survey,,AI,541,,,AKR,153,ROCK,Other Rockfish,1,1.775,1,"Cara Rodgveller , NMFS, cara.rodgveller@noaa.gov",2022-10-17 06:00:18
2006,NMFS,AFSC Annual Longline Survey,,AI,541,,,AKR,172,ROCK,Other Rockfish,1,1.349,1,"Cara Rodgveller , NMFS, cara.rodgveller@noaa.gov",2022-10-17 06:00:18
2006,NMFS,AFSC Annual Longline Survey,,AI,542,,,AKR,143,ROCK,Other Rockfish,367,383.446,1,"Cara Rodgveller , NMFS, cara.rodgveller@noaa.gov",2022-10-17 06:00:18
2006,NMFS,AFSC Annual Longline Survey,,AI,542,,,AKR,172,ROCK,Other Rockfish,1,1.349,1,"Cara Rodgveller , NMFS, cara.rodgveller@noaa.gov",2022-10-17 06:00:18
2006,NMFS,AFSC Annual Longline Survey,,AI,542,,,AKR,177,ROCK,Other Rockfish,10,17.768,1,"Cara Rodgveller , NMFS, cara.rodgveller@noaa.gov",2022-10-17 06:00:18
2007,NMFS,AFSC Annual Longline Survey,,BS,517,,,AKR,143,ROCK,Other Rockfish,167,236.97,1,"Cara Rodgveller , NMFS, cara.rodgveller@noaa.gov",2022-10-17 06:00:18
2007,NMFS,AFSC Annual Longline Survey,,BS,518,,,AKR,143,ROCK,Other Rockfish,720,844.524,1,"Cara Rodgveller , NMFS, cara.rodgveller@noaa.gov",2022-10-17 06:00:18
2007,NMFS,AFSC Annual Longline Survey,,BS,521,,,AKR,143,ROCK,Other Rockfish,412,445.237,1,"Cara Rodgveller , NMFS, cara.rodgveller@noaa.gov",2022-10-17 06:00:18
2007,NMFS,AFSC Annual Longline Survey,,BS,521,,,AKR,172,ROCK,Other Rockfish,21,28.319,1,"Cara Rodgveller , NMFS, cara.rodgveller@noaa.gov",2022-10-17 06:00:18
2007,NMFS,AFSC Annual Longline Survey,,BS,523,,,AKR,143,ROCK,Other Rockfish,199,228.479,1,"Cara Rodgveller , NMFS, cara.rodgveller@noaa.gov",2022-10-17 06:00:18
2008,NMFS,AFSC Annual Longline Survey,,AI,541,,,AKR,143,ROCK,Other Rockfish,1058,1097.037,1,"Cara Rodgveller , NMFS, cara.rodgveller@noaa.gov",2022-10-17 06:00:18
2008,NMFS,AFSC Annual Longline Survey,,AI,541,,,AKR,153,ROCK,Other Rockfish,1,1.775,1,"Cara Rodgveller , NMFS, cara.rodgveller@noaa.gov",2022-10-17 06:00:18
2008,NMFS,AFSC Annual Longline Survey,,AI,541,,,AKR,177,ROCK,Other Rockfish,2,3.554,1,"Cara Rodgveller , NMFS, cara.rodgveller@noaa.gov",2022-10-17 06:00:18
2008,NMFS,AFSC Annual Longline Survey,,AI,542,,,AKR,143,ROCK,Other Rockfish,460,388.439,1,"Cara Rodgveller , NMFS, cara.rodgveller@noaa.gov",2022-10-17 06:00:18
2008,NMFS,AFSC Annual Longline Survey,,AI,542,,,AKR,177,ROCK,Other Rockfish,1,1.777,1,"Cara Rodgveller , NMFS, cara.rodgveller@noaa.gov",2022-10-17 06:00:18
2008,NMFS,Aleutian Islands Cooperative Acoustic Survey,2,AI,541,,,AKR,143,ROCK,Other Rockfish,2,1.602,1,,2022-10-17 06:00:18
2009,NMFS,AFSC Annual Longline Survey,,BS,517,,,AKR,143,ROCK,Other Rockfish,291,395.65,1,"Cara Rodgveller , NMFS, cara.rodgveller@noaa.gov",2022-10-17 06:00:18
2009,NMFS,AFSC Annual Longline Survey,,BS,518,,,AKR,143,ROCK,Other Rockfish,734,911.77,1,"Cara Rodgveller , NMFS, cara.rodgveller@noaa.gov",2022-10-17 06:00:18
2009,NMFS,AFSC Annual Longline Survey,,BS,518,,,AKR,172,ROCK,Other Rockfish,2,2.698,1,"Cara Rodgveller , NMFS, cara.rodgveller@noaa.gov",2022-10-17 06:00:18
2009,NMFS,AFSC Annual Longline Survey,,BS,521,,,AKR,143,ROCK,Other Rockfish,403,434.189,1,"Cara Rodgveller , NMFS, cara.rodgveller@noaa.gov",2022-10-17 06:00:18
2009,NMFS,AFSC Annual Longline Survey,,BS,521,,,AKR,145,ROCK,Other Rockfish,2,5.769,1,"Cara Rodgveller , NMFS, cara.rodgveller@noaa.gov",2022-10-17 06:00:18
2009,NMFS,AFSC Annual Longline Survey,,BS,521,,,AKR,172,ROCK,Other Rockfish,51,68.774,1,"Cara Rodgveller , NMFS, cara.rodgveller@noaa.gov",2022-10-17 06:00:18
2009,NMFS,AFSC Annual Longline Survey,,BS,523,,,AKR,143,ROCK,Other Rockfish,152,175.856,1,"Cara Rodgveller , NMFS, cara.rodgveller@noaa.gov",2022-10-17 06:00:18
2010,ADFG,Large-Mesh Trawl Survey,1,BS,519,Westward,655406,AKR,172,ROCK,Other Rockfish,7,2.8,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2022-10-17 06:00:18
2010,ADFG,Large-Mesh Trawl Survey,1,BS,519,Westward,655406,AKR,176,ROCK,Other Rockfish,2,0.6,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2022-10-17 06:00:18
2010,ADFG,Large-Mesh Trawl Survey,1,BS,519,Westward,655407,AKR,172,ROCK,Other Rockfish,3,2.05,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2022-10-17 06:00:18
2010,ADFG,Large-Mesh Trawl Survey,1,BS,519,Westward,665335,AKR,172,ROCK,Other Rockfish,2,0.35,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2022-10-17 06:00:18
2010,ADFG,Large-Mesh Trawl Survey,1,BS,519,Westward,665336,AKR,172,ROCK,Other Rockfish,1,1.6,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2022-10-17 06:00:18
2010,ADFG,Large-Mesh Trawl Survey,1,BS,519,Westward,665336,AKR,176,ROCK,Other Rockfish,3,2.1,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",2022-10-17 06:00:18
2010,IPHC,IPHC Annual Longline Survey,8,AI,541,,715231,AKR,143,ROCK,Other Rockfish,0,2,1,"Jason Gasper, NMFS, jason.gasper@noaa.gov",2022-10-17 06:00:18
2010,IPHC,IPHC Annual Longline Survey,8,AI,541,,735201,AKR,143,ROCK,Other Rockfish,0,2,1,"Jason Gasper, NMFS, jason.gasper@noaa.gov",2022-10-17 06:00:18
2010,IPHC,IPHC Annual Longline Survey,8,AI,541,,735201,AKR,172,ROCK,Other Rockfish,0,1,1,"Jason Gasper, NMFS, jason.gasper@noaa.gov",2022-10-17 06:00:18
2010,IPHC,IPHC Annual Longline Survey,8,AI,541,,745131,AKR,172,ROCK,Other Rockfish,0,1,1,"Jason Gasper, NMFS, jason.gasper@noaa.gov",2022-10-17 06:00:18
2010,IPHC,IPHC Annual Longline Survey,8,AI,541,,755132,AKR,143,ROCK,Other Rockfish,0,9,1,"Jason Gasper, NMFS, jason.gasper@noaa.gov",2022-10-17 06:00:18
2010,IPHC,IPHC Annual Longline Survey,8,AI,541,,755132,AKR,172,ROCK,Other Rockfish,0,1,1,"Jason Gasper, NMFS, jason.gasper@noaa.gov",2022-10-17 06:00:18
2010,IPHC,IPHC Annual Longline Survey,8,AI,541,,755201,AKR,172,ROCK,Other Rockfish,0,1,1,"Jason Gasper, NMFS, jason.gasper@noaa.gov",2022-10-17 06:00:18
2010,IPHC,IPHC Annual Longline Survey,8,AI,541,,765132,AKR,143,ROCK,Other Rockfish,0,8,1,"Jason Gasper, NMFS, jason.gasper@noaa.gov",2022-10-17 06:00:18
2010,IPHC,IPHC Annual Longline Survey,8,AI,541,,765132,AKR,172,ROCK,Other Rockfish,0,1,1,"Jason Gasper, NMFS, jason.gasper@noaa.gov",2022-10-17 06:00:18
2010,IPHC,IPHC Annual Longline Survey,8,AI,542,,775132,AKR,143,ROCK,Other Rockfish,0,4,1,"Jason Gasper, NMFS, jason.gasper@noaa.gov",2022-10-17 06:00:18
2010,IPHC,IPHC Annual Longline Survey,8,AI,542,,785131,AKR,143,ROCK,Other Rockfish,0,15,1,"Jason Gasper, NMFS, jason.gasper@noaa.gov",2022-10-17 06:00:18
2010,IPHC,IPHC Annual Longline Survey,8,AI,542,,785131,AKR,172,ROCK,Other Rockfish,0,1,1,"Jason Gasper, NMFS, jason.gasper@noaa.gov",2022-10-17 06:00:18
2010,IPHC,IPHC Annual Longline Survey,8,AI,542,,785134,AKR,143,ROCK,Other Rockfish,0,1,1,"Jason Gasper, NMFS, jason.gasper@noaa.gov",2022-10-17 06:00:18
2010,IPHC,IPHC Annual Longline Survey,8,AI,542,,795102,AKR,143,ROCK,Other Rockfish,0,11,1,"Jason Gasper, NMFS, jason.gasper@noaa.gov",2022-10-17 06:00:18
2010,IPHC,IPHC Annual Longline Survey,8,AI,542,,795102,AKR,172,ROCK,Other Rockfish,0,1,1,"Jason Gasper, NMFS, jason.gasper@noaa.gov",2022-10-17 06:00:18
