survey,year,area_code,species_code,biomass,var,area,common_name
AI,1991,299,30020,5131,2069034.28010818,Western AI,shortspine thornyhead
AI,1991,5699,30020,114.7,3205.51734060512,Eastern AI,shortspine thornyhead
AI,1991,799,30020,187.4,11725.0186851253,SBS,shortspine thornyhead
AI,1991,3499,30020,907.6,97711.7648493467,Central AI,shortspine thornyhead
AI,1994,3499,30020,1554.2,179230.288110913,Central AI,shortspine thornyhead
AI,1994,799,30020,1070.8,309828.03468975,SBS,shortspine thornyhead
AI,1994,5699,30020,186.6,7239.8999682422,Eastern AI,shortspine thornyhead
AI,1994,299,30020,4503,817468.879610157,Western AI,shortspine thornyhead
AI,1997,5699,30020,158.9,5227.17308740379,Eastern AI,shortspine thornyhead
AI,1997,799,30020,1545.1,1120300.40034146,SBS,shortspine thornyhead
AI,1997,3499,30020,2010.9,97835.7895789074,Central AI,shortspine thornyhead
AI,1997,299,30020,6724.6,2504428.91664904,Western AI,shortspine thornyhead
AI,2000,5699,30020,522.1,65707.2252975697,Eastern AI,shortspine thornyhead
AI,2000,299,30020,6311.2,2776863.33354385,Western AI,shortspine thornyhead
AI,2000,3499,30020,3815.2,1087761.32687967,Central AI,shortspine thornyhead
AI,2000,799,30020,1051.3,250561.284718872,SBS,shortspine thornyhead
AI,2002,3499,30020,5454.3,1143427.37679747,Central AI,shortspine thornyhead
AI,2002,5699,30020,543.3,75654.7748048728,Eastern AI,shortspine thornyhead
AI,2002,799,30020,1012,168037.821458393,SBS,shortspine thornyhead
AI,2002,299,30020,8246.6,7221810.36084877,Western AI,shortspine thornyhead
AI,2004,299,30020,12001.8,9776987.57200581,Western AI,shortspine thornyhead
AI,2004,799,30020,945.4,275954.786614506,SBS,shortspine thornyhead
AI,2004,3499,30020,4354.2,985309.977114091,Central AI,shortspine thornyhead
AI,2004,5699,30020,978.7,196060.760827139,Eastern AI,shortspine thornyhead
AI,2006,799,30020,967.9,281672.348213815,SBS,shortspine thornyhead
AI,2006,299,30020,11117,3582056.54857405,Western AI,shortspine thornyhead
AI,2006,3499,30020,5987.2,922133.857194766,Central AI,shortspine thornyhead
AI,2006,5699,30020,773.6,215084.894265541,Eastern AI,shortspine thornyhead
AI,2010,799,30020,1052.3,594280.794218763,SBS,shortspine thornyhead
AI,2010,299,30020,12102.5,7761429.89999125,Western AI,shortspine thornyhead
AI,2010,3499,30020,5107.6,408104.275707998,Central AI,shortspine thornyhead
AI,2010,5699,30020,864.5,144559.414069553,Eastern AI,shortspine thornyhead
AI,2012,299,30020,9419.2,3544175.43945617,Western AI,shortspine thornyhead
AI,2012,799,30020,451.8,120304.904954001,SBS,shortspine thornyhead
AI,2012,5699,30020,1505,582854.413364123,Eastern AI,shortspine thornyhead
AI,2012,3499,30020,3519.2,666781.91002681,Central AI,shortspine thornyhead
AI,2014,5699,30020,649,76012.2016693087,Eastern AI,shortspine thornyhead
AI,2014,299,30020,12950.8,17918442.6642613,Western AI,shortspine thornyhead
AI,2014,3499,30020,4011.1,543586.509574763,Central AI,shortspine thornyhead
AI,2014,799,30020,2567.2,2951799.98144608,SBS,shortspine thornyhead
AI,2016,5699,30020,2537.6,716628.140080234,Eastern AI,shortspine thornyhead
AI,2016,299,30020,8747.9,4508717.80425567,Western AI,shortspine thornyhead
AI,2016,3499,30020,5255.5,1949932.7557927,Central AI,shortspine thornyhead
AI,2016,799,30020,1607.4,738928.625149851,SBS,shortspine thornyhead
AI,2018,3499,30020,3394.3,401008.765808965,Central AI,shortspine thornyhead
AI,2018,5699,30020,1914.8,1584093.27085346,Eastern AI,shortspine thornyhead
AI,2018,799,30020,1604.8,1198170.50278621,SBS,shortspine thornyhead
AI,2018,299,30020,7906.6,4965852.55616138,Western AI,shortspine thornyhead
AI,2022,299,30020,8529.3,2016833.14927786,Western AI,shortspine thornyhead
AI,2022,3499,30020,2484,326184.459357963,Central AI,shortspine thornyhead
AI,2022,799,30020,1277.6,906846.367558228,SBS,shortspine thornyhead
AI,2022,5699,30020,1853.8,1654273.09696391,Eastern AI,shortspine thornyhead
AI,1991,799,30150,57.6,2567.07154876971,SBS,dusky and dark rockfishes unid.
AI,1991,299,30150,12.5,157.186432142238,Western AI,dusky and dark rockfishes unid.
AI,1991,5699,30150,127.2,11459.1680929434,Eastern AI,dusky and dark rockfishes unid.
AI,1991,3499,30150,331.9,22982.0963758292,Central AI,dusky and dark rockfishes unid.
AI,1994,5699,30150,7,17.6878092293687,Eastern AI,dusky and dark rockfishes unid.
AI,1994,299,30150,132.6,15748.0472531575,Western AI,dusky and dark rockfishes unid.
AI,1994,799,30150,98.8,2415.3880845174,SBS,dusky and dark rockfishes unid.
AI,1994,3499,30150,53.5,803.584528500156,Central AI,dusky and dark rockfishes unid.
AI,1997,299,30152,54.4,2663.39111836759,Western AI,dusky rockfish
AI,1997,5699,30152,442,185804.827277828,Eastern AI,dusky rockfish
AI,1997,3499,30152,77.5,1531.51611869991,Central AI,dusky rockfish
AI,1997,799,30152,138.3,3990.14346927349,SBS,dusky rockfish
AI,2000,299,30152,185.5,4217.07399924157,Western AI,dusky rockfish
AI,2000,799,30152,55.4,390.934224554423,SBS,dusky rockfish
AI,2000,3499,30152,579.4,105840.056607223,Central AI,dusky rockfish
AI,2000,5699,30152,485.3,69919.7163954503,Eastern AI,dusky rockfish
AI,2002,299,30152,47.8,961.370049949576,Western AI,dusky rockfish
AI,2002,3499,30152,334.1,23867.2915142529,Central AI,dusky rockfish
AI,2002,5699,30152,149,4060.4425400451,Eastern AI,dusky rockfish
AI,2002,799,30152,96.9,1240.70153655396,SBS,dusky rockfish
AI,2004,5699,30152,92.7,1309.94945627951,Eastern AI,dusky rockfish
AI,2004,799,30152,1358.6,1517026.03100116,SBS,dusky rockfish
AI,2004,299,30152,248.1,45020.9702169692,Western AI,dusky rockfish
AI,2004,3499,30152,389.2,58348.9654668064,Central AI,dusky rockfish
AI,2006,3499,30152,5580.1,27830923.0841058,Central AI,dusky rockfish
AI,2006,799,30152,730.9,495804.505043916,SBS,dusky rockfish
AI,2006,299,30152,33.4,441.135398214888,Western AI,dusky rockfish
AI,2006,5699,30152,343.2,24959.3343376913,Eastern AI,dusky rockfish
AI,2010,799,30152,120,2846.76277659356,SBS,dusky rockfish
AI,2010,299,30152,6.8,45.7507264208534,Western AI,dusky rockfish
AI,2010,5699,30152,221.6,5593.70230448901,Eastern AI,dusky rockfish
AI,2010,3499,30152,331.7,30429.113693662,Central AI,dusky rockfish
AI,2012,5699,30152,118.1,2972.32875253039,Eastern AI,dusky rockfish
AI,2012,799,30152,134.6,5946.4042372885,SBS,dusky rockfish
AI,2012,299,30152,3.8,14.3108816360697,Western AI,dusky rockfish
AI,2012,3499,30152,114.6,2724.85947062891,Central AI,dusky rockfish
AI,2014,799,30152,231.5,13584.5567684002,SBS,dusky rockfish
AI,2014,3499,30152,4733.6,21015685.2106214,Central AI,dusky rockfish
AI,2014,5699,30152,759,130203.031097034,Eastern AI,dusky rockfish
AI,2014,299,30152,49.5,483.453022203437,Western AI,dusky rockfish
AI,2016,5699,30152,177.3,19386.3909205987,Eastern AI,dusky rockfish
AI,2016,299,30152,426.2,40301.9770196612,Western AI,dusky rockfish
AI,2016,3499,30152,1061.1,279818.659615343,Central AI,dusky rockfish
AI,2016,799,30152,216.8,13815.3826882787,SBS,dusky rockfish
AI,2018,299,30152,88.6,972.508273629873,Western AI,dusky rockfish
AI,2018,5699,30152,238.3,16732.304470176,Eastern AI,dusky rockfish
AI,2018,3499,30152,568.9,69139.1512462454,Central AI,dusky rockfish
AI,2018,799,30152,1638.5,1604569.62673325,SBS,dusky rockfish
AI,2022,799,30152,215.5,7037.4842441585,SBS,dusky rockfish
AI,2022,299,30152,8.4,35.0524581070773,Western AI,dusky rockfish
AI,2022,3499,30152,503,96440.6488617867,Central AI,dusky rockfish
AI,2022,5699,30152,793.3,410620.852629882,Eastern AI,dusky rockfish
AI,1991,5699,30475,0,0,Eastern AI,redbanded rockfish
AI,1991,299,30475,0,0,Western AI,redbanded rockfish
AI,1991,3499,30475,0,0,Central AI,redbanded rockfish
AI,1991,799,30475,0.7,0.471600823758079,SBS,redbanded rockfish
AI,1994,3499,30475,0,0,Central AI,redbanded rockfish
AI,1994,299,30475,0,0,Western AI,redbanded rockfish
AI,1994,799,30475,0,0,SBS,redbanded rockfish
AI,1994,5699,30475,0,0,Eastern AI,redbanded rockfish
AI,1997,299,30475,0.8,0.590564092828969,Western AI,redbanded rockfish
AI,1997,799,30475,0,0,SBS,redbanded rockfish
AI,1997,5699,30475,0,0,Eastern AI,redbanded rockfish
AI,1997,3499,30475,0.8,0.598794794850927,Central AI,redbanded rockfish
AI,2000,299,30475,0,0,Western AI,redbanded rockfish
AI,2000,3499,30475,0,0,Central AI,redbanded rockfish
AI,2000,799,30475,0,0,SBS,redbanded rockfish
AI,2000,5699,30475,0,0,Eastern AI,redbanded rockfish
AI,2002,299,30475,0.5,0.286452327520198,Western AI,redbanded rockfish
AI,2002,5699,30475,0.5,0.276172433384997,Eastern AI,redbanded rockfish
AI,2002,799,30475,0,0,SBS,redbanded rockfish
AI,2002,3499,30475,0,0,Central AI,redbanded rockfish
AI,2004,299,30475,1.1,1.25241831102181,Western AI,redbanded rockfish
AI,2004,3499,30475,4.2,17.9007389879471,Central AI,redbanded rockfish
AI,2004,5699,30475,0,0,Eastern AI,redbanded rockfish
AI,2004,799,30475,0,0,SBS,redbanded rockfish
AI,2006,799,30475,0,0,SBS,redbanded rockfish
AI,2006,5699,30475,4.7,21.6533420667671,Eastern AI,redbanded rockfish
AI,2006,299,30475,0.8,0.605188044260654,Western AI,redbanded rockfish
AI,2006,3499,30475,0,0,Central AI,redbanded rockfish
AI,2010,3499,30475,3.1,9.45636169002998,Central AI,redbanded rockfish
AI,2010,299,30475,0,0,Western AI,redbanded rockfish
AI,2010,799,30475,0,0,SBS,redbanded rockfish
AI,2010,5699,30475,0,0,Eastern AI,redbanded rockfish
AI,2012,3499,30475,1.5,2.38066110564746,Central AI,redbanded rockfish
AI,2012,799,30475,0,0,SBS,redbanded rockfish
AI,2012,5699,30475,0,0,Eastern AI,redbanded rockfish
AI,2012,299,30475,1.2,1.38086267050364,Western AI,redbanded rockfish
AI,2014,299,30475,1.1,1.2515927702129,Western AI,redbanded rockfish
AI,2014,3499,30475,0,0,Central AI,redbanded rockfish
AI,2014,5699,30475,0,0,Eastern AI,redbanded rockfish
AI,2014,799,30475,0,0,SBS,redbanded rockfish
AI,2016,5699,30475,7,48.5629278735483,Eastern AI,redbanded rockfish
AI,2016,3499,30475,9.9,98.5138024913173,Central AI,redbanded rockfish
AI,2016,299,30475,0,0,Western AI,redbanded rockfish
