year,index,mean,se
1977,tot_biom,5.25E+04,1.29E+04
1978,tot_biom,5.12E+04,1.29E+04
1979,tot_biom,5.08E+04,1.29E+04
1980,tot_biom,5.04E+04,1.29E+04
1981,tot_biom,4.92E+04,1.30E+04
1982,tot_biom,4.87E+04,1.30E+04
1983,tot_biom,4.84E+04,1.30E+04
1984,tot_biom,4.81E+04,1.30E+04
1985,tot_biom,4.77E+04,1.31E+04
1986,tot_biom,4.79E+04,1.31E+04
1987,tot_biom,4.78E+04,1.31E+04
1988,tot_biom,4.75E+04,1.31E+04
1989,tot_biom,4.62E+04,1.31E+04
1990,tot_biom,4.43E+04,1.31E+04
1991,tot_biom,4.22E+04,1.30E+04
1992,tot_biom,4.21E+04,1.30E+04
1993,tot_biom,4.13E+04,1.30E+04
1994,tot_biom,4.09E+04,1.29E+04
1995,tot_biom,4.06E+04,1.29E+04
1996,tot_biom,4.01E+04,1.29E+04
1997,tot_biom,3.99E+04,1.29E+04
1998,tot_biom,3.96E+04,1.29E+04
1999,tot_biom,3.93E+04,1.29E+04
2000,tot_biom,3.93E+04,1.29E+04
2001,tot_biom,3.91E+04,1.29E+04
2002,tot_biom,3.88E+04,1.29E+04
2003,tot_biom,3.90E+04,1.29E+04
2004,tot_biom,3.90E+04,1.30E+04
2005,tot_biom,3.91E+04,1.30E+04
2006,tot_biom,3.93E+04,1.30E+04
2007,tot_biom,3.94E+04,1.31E+04
2008,tot_biom,3.94E+04,1.31E+04
2009,tot_biom,3.96E+04,1.32E+04
2010,tot_biom,3.98E+04,1.32E+04
2011,tot_biom,3.99E+04,1.33E+04
2012,tot_biom,3.99E+04,1.34E+04
2013,tot_biom,4.00E+04,1.35E+04
2014,tot_biom,4.01E+04,1.36E+04
2015,tot_biom,4.01E+04,1.37E+04
2016,tot_biom,4.02E+04,1.38E+04
2017,tot_biom,4.03E+04,1.39E+04
2018,tot_biom,4.04E+04,1.40E+04
2019,tot_biom,4.03E+04,1.41E+04
