Gear,Target fishery,517,519,509,513,516,518,521,523,524,508,514,512,Total (t),% of total
Longline,Pacific cod,22.6,10.1,0.3,3.6,0,0.1,185.8,0.4,0.1,0,0,0,223,32.6
Pelagic trawl,Pollock,93.9,35.4,9.1,0.8,0.1,0,40.3,1.8,0.7,0,0.1,0,182.3,26.6
Bottom trawl,Rockfish,81.8,8.9,0,0,0,2.5,5.8,3.3,0,0.2,0,0,102.4,15
Bottom trawl,Pacific cod,20.9,20.3,6,0,0,0,11.4,0.1,0.1,0,0,0,58.8,8.6
Bottom trawl,Atka mackerel,3.2,40.5,0,0,0,0,0,0,0,0,0,0,43.6,6.4
Bottom trawl,Flatfish,10.7,1.2,2.3,1.5,0,0.2,9.5,0.2,0.3,0,0,0,25.9,3.8
Longline,Halibut,0,3.2,0,0.2,0,5.9,3.5,0.2,2.8,0,0.4,0,16.2,2.4
Pot,Pacific cod,2.7,9.7,3,0,0.1,0.1,0,0,0,0,0,0,15.8,2.3
Bottom trawl,Other,2.6,3.6,0,0,0,0,0.3,0,0,0,0,0,6.6,1
Bottom trawl,Pollock,0.9,0.5,0.2,0,0,0,4.8,0,0,0,0,0,6.4,0.9
Longline,Flatfish,0,0,0,0,0,0,2.2,0.1,0,0,0,0,2.2,0.3
Jig,Rockfish,0,0.1,0,0,0,0.1,0,0,0,0,0.6,0,0.7,0.1
Pelagic trawl,Pacific cod,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0
Jig,Pacific cod,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0
Bottom trawl,Sablefish,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0
Longline,Sablefish,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
Pelagic trawl,Atka mackerel,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (t),NA,239.6,133.7,20.8,6.2,0.2,9.1,263.6,6,3.9,0.2,1,0,684.4,100
