Catch tables for BSAI Other Rockfish
Contact: jane.sullivan@noaa.gov
Catch assessed from AKFIN's COUNCIL.COMPREHENSIVE_BLEND_CA 10/13/2020

Total catch (t) by FMP and FMP subarea
Year,BSAI,AI,EBS
2003,684.647,389.648,294.999
2004,633.071,331.172,301.899
2005,446.802,281.552,165.25
2006,570.461,421.614,148.847
2007,646.414,429.352,217.062
2008,596.337,381.998,214.339
2009,565.61,372.288,193.322
2010,765.8591329896,497.5952355935,268.2638973961
2011,945.4519071596,616.8331062761,328.6188008835
2012,922.0701656641,711.7166921594,210.3534735047
2013,820.8429929643,629.1524793871,191.6905135772
2014,952.8481724079,628.52934753,324.3188248779
2015,687.0532655661,502.5024728877,184.5507926784
2016,785.9247434425,506.8117773969,279.1129660456
2017,829.9073487454,569.8652485339,260.0421002115
2018,986.2305278087,774.8114778564,211.4190499523
2019,1266.3618211603,569.1610406235,697.2007805368
2020,915.7693105484,639.8956161531,275.8736943953

Catch (t) of Other Rockfish species and percent shortspine thornyhead in the catch in the Aleutian
Islands and Bering Sea since 2003.
Year,Area,dusky rockfish,SST,other thornyheads,% SST in thornyhead catch,harlequin rockfish,yelloweye rockfish,redbanded rockfish,redstripe rockfish,black rockfish,other rockfish,Total (t)
2003,AI,151.5,129.3,47.8,73.0%,34.5,2.4,0.2,0.9,0.2,3.2,389.6
2004,AI,129.5,60.3,37.0,62.0%,36.9,0.9,0.2,3.1,1.4,47.9,331.2
2005,AI,134.2,78.1,35.1,69.0%,14.3,5.6,0.2,0.0,0.0,14.1,281.6
2006,AI,161.4,118.7,39.7,74.9%,25.2,0.4,0.1,1.7,0.1,72.2,421.6
2007,AI,231.7,115.9,15.4,88.3%,39.9,0.6,1.4,0.5,0.1,23.9,429.4
2008,AI,179.8,107.4,7.8,93.2%,34.3,4.5,1.0,0.6,3.2,43.3,382.0
2009,AI,142.0,131.8,10.8,92.4%,22.8,0.2,0.4,0.0,1.2,63.0,372.3
2010,AI,226.2,154.8,14.9,91.2%,42.6,0.5,3.6,0.9,0.4,53.5,497.6
2011,AI,380.5,152.8,10.7,93.4%,59.3,0.3,0.7,0.0,0.1,12.4,616.8
2012,AI,435.2,171.4,2.7,98.4%,51.9,0.1,3.7,0.0,0.3,46.3,711.7
2013,AI,334.4,255.5,5.1,98.1%,25.9,0.7,1.0,0.0,0.5,6.2,629.2
2014,AI,349.3,241.7,9.1,96.4%,20.0,0.1,1.5,0.3,0.4,6.2,628.5
2015,AI,294.4,150.3,2.9,98.1%,32.7,0.1,4.3,0.0,0.1,17.8,502.5
2016,AI,337.6,130.2,0.0,100.0%,36.1,1.3,0.5,0.1,0.3,0.7,506.8
2017,AI,403.6,100.7,0.8,99.2%,47.9,0.2,1.7,4.5,0.6,10.1,569.9
2018,AI,570.6,90.2,1.3,98.6%,95.4,0.8,0.9,0.0,0.3,15.3,774.8
2019,AI,331.6,135.0,0.0,100.0%,92.2,0.3,2.0,0.0,0.8,7.2,569.2
2020,AI,352.6,171.1,0.3,99.8%,92.9,1.0,2.2,0.3,2.0,17.5,639.9
Average,AI,285.9,138.6,13.4,90.3%,44.7,1.1,1.4,0.7,0.7,25.6,514.1
2003,EBS,22.2,218.9,20.8,91.3%,0.0,1.1,17.0,1.0,0.3,13.6,295.0
2004,EBS,31.9,224.3,17.7,92.7%,0.4,1.4,10.4,0.0,0.9,15.0,301.9
2005,EBS,36.2,103.0,15.9,86.6%,0.2,0.7,0.3,0.0,7.2,1.6,165.2
2006,EBS,46.6,89.0,4.3,95.4%,0.0,1.4,0.4,0.1,0.2,6.9,148.8
2007,EBS,44.9,163.1,5.1,97.0%,0.0,1.7,0.0,0.0,0.3,1.8,217.1
2008,EBS,15.4,179.1,7.3,96.1%,0.0,1.0,0.0,0.1,2.2,9.2,214.3
2009,EBS,10.2,177.6,1.0,99.4%,0.1,1.1,0.2,0.0,0.2,2.8,193.3
2010,EBS,33.3,199.5,7.8,96.2%,0.3,1.4,0.5,0.0,1.5,23.8,268.3
2011,EBS,45.8,257.8,1.2,99.5%,4.6,1.4,0.5,0.0,3.5,13.8,328.6
2012,EBS,36.1,136.1,9.2,93.7%,0.1,0.5,2.6,0.1,7.2,18.5,210.4
2013,EBS,33.3,142.3,3.3,97.7%,0.6,0.7,0.2,0.0,4.6,6.6,191.7
2014,EBS,42.2,246.3,3.3,98.7%,1.5,1.5,0.1,4.6,1.8,22.8,324.3
2015,EBS,47.7,100.4,2.4,97.7%,2.3,1.4,0.2,0.0,1.7,28.5,184.6
2016,EBS,36.4,210.5,9.9,95.5%,3.1,2.5,0.1,0.0,6.2,10.3,279.1
2017,EBS,30.2,211.4,1.1,99.5%,1.7,1.3,1.6,0.3,0.8,11.6,260.0
2018,EBS,38.4,148.6,0.7,99.6%,0.5,1.0,0.2,0.1,5.2,16.7,211.4
2019,EBS,87.5,594.4,1.9,99.7%,3.4,1.3,0.6,0.1,0.7,7.3,697.2
2020,EBS,58.2,171.7,0.0,100.0%,0.2,0.8,0.0,0.0,11.4,33.6,275.9
Average,EBS,38.7,198.6,6.3,96.5%,1.1,1.2,2.0,0.4,3.1,13.6,264.8
