species,year,region,re_est,re_lci,re_uci
nonSST,1980,TOTAL,127.393,0.0484529,334941
nonSST,1981,TOTAL,227.817,0.103788,500064
nonSST,1982,TOTAL,490.344,0.269408,892466
nonSST,1983,TOTAL,1188.79,0.796359,1774600
nonSST,1984,TOTAL,943.089,0.772224,1151760
nonSST,1985,TOTAL,991.285,1.00471,978034
nonSST,1986,TOTAL,1322.82,1.69217,1034100
nonSST,1987,TOTAL,947.014,1.52201,589244
nonSST,1988,TOTAL,756.471,1.54685,369943
nonSST,1989,TOTAL,686.631,1.81615,259594
nonSST,1990,TOTAL,703.703,2.45543,201674
nonSST,1991,TOTAL,791.399,3.70747,168933
nonSST,1992,TOTAL,566.958,3.61219,88988
nonSST,1993,TOTAL,516.26,4.70932,56595.2
nonSST,1994,TOTAL,459.92,5.83713,36238.1
nonSST,1995,TOTAL,564.793,14.2515,22382.9
nonSST,1996,TOTAL,689.768,38.9285,12221.9
nonSST,1997,TOTAL,927.235,129.983,6614.46
nonSST,1998,TOTAL,1241.12,343.946,4478.55
nonSST,1999,TOTAL,1388.8,443.333,4350.62
nonSST,2000,TOTAL,1496.67,817.114,2741.39
nonSST,2001,TOTAL,1115.36,403.571,3082.57
nonSST,2002,TOTAL,860.581,521.292,1420.7
nonSST,2003,TOTAL,1424.53,556.04,3649.51
nonSST,2004,TOTAL,3089.83,1433.79,6658.64
nonSST,2005,TOTAL,3197.47,1088.93,9388.86
nonSST,2006,TOTAL,4004.38,1485.33,10795.6
nonSST,2007,TOTAL,2693.13,642.413,11290.2
nonSST,2008,TOTAL,1820.91,405.507,8176.73
nonSST,2009,TOTAL,1262.06,370.395,4300.24
nonSST,2010,TOTAL,888.494,574.486,1374.14
nonSST,2011,TOTAL,684.205,284.309,1646.58
nonSST,2012,TOTAL,538.569,354.018,819.328
nonSST,2013,TOTAL,1114.62,374.282,3319.35
nonSST,2014,TOTAL,2722.34,987.282,7506.58
nonSST,2015,TOTAL,2400.21,723.329,7964.59
nonSST,2016,TOTAL,2096.25,1262.4,3480.88
nonSST,2017,TOTAL,2043.38,807.041,5173.74
nonSST,2018,TOTAL,2797.8,1490.4,5252.1
nonSST,2019,TOTAL,2797.8,746.475,10486.2
nonSST,1980,AI,40.3145,12.1772,133.468
nonSST,1980,EBS_SHELF,24.1703,0.666565,876.44
nonSST,1980,EBS_SLOPE,37.0368,0.0140744,97462.1
nonSST,1980,SBS,25.871,5.93913,112.695
nonSST,1981,AI,113.866,23.4287,553.399
