species,year,FMP,fmp_est,fmp_sd,fmp_lci,fmp_uci
non-SST,1980,AI,40.2782,0.610808,12.165775220185395,133.35224150354443
non-SST,1980,BS,87.0486,4.0212614734007195,0.032869637998582175,230530.6423601885
non-SST,1981,AI,113.798,0.80721,23.389643685284287,553.6631929176227
non-SST,1981,BS,113.9152,3.929478395071985,0.05149228221751767,252011.99543308126
non-SST,1982,AI,321.511,0.7263349999999998,77.43316349148535,1334.948986455483
non-SST,1982,BS,168.70780000000002,3.8352423089730183,0.09172991728510463,310283.95776676224
non-SST,1983,AI,908.362,0.031781000000001065,853.5056974129748,966.7440130100965
non-SST,1983,BS,280.4518,3.738126129633252,0.18445950219542842,426398.2673004809
non-SST,1984,AI,508.325,0.71822,124.38850926624887,2077.316523441218
non-SST,1984,BS,434.84680000000003,3.635994249966804,0.3493940380627662,541199.1015034749
non-SST,1985,AI,284.462,0.7776279999999999,61.95750810777338,1306.0342792231777
non-SST,1985,BS,707.2351,3.526146878527968,0.7047693171224251,709709.509934758
non-SST,1986,AI,159.187,0.5173060000000002,57.75210805107529,438.7805367483586
non-SST,1986,BS,1164.7894000000001,3.4056629360639383,1.469902721044894,923009.6161655618
non-SST,1987,AI,196.725,0.872553,35.57356957384412,1087.9067264999778
non-SST,1987,BS,750.7619,3.293835972081036,1.179593694247834,477828.453339619
non-SST,1988,AI,243.115,0.9968610000000001,34.45613350587421,1715.366676731838
non-SST,1988,BS,513.5221,3.1794011033457243,1.0097137792997188,261168.0186946656
non-SST,1989,AI,300.444,0.982219,43.820955565476716,2059.8956816704926
non-SST,1989,BS,386.2501,3.0611235270774877,0.9576077554213087,155793.579266046
non-SST,1990,AI,371.292,0.82123,74.24556275570833,1856.7809865970844
non-SST,1990,BS,332.4991,2.936345305184736,1.0527442805335836,105016.62516254636
non-SST,1991,AI,458.847,0.3503199999999999,230.92422378863006,911.7301162900621
non-SST,1991,BS,332.76300000000003,2.8029105575405846,1.3685144823696256,80913.43978856955
non-SST,1992,AI,380.197,0.75763,86.11940292721238,1678.480735998282
non-SST,1992,BS,186.69209999999998,2.680815620764338,0.9753704992663252,35734.05206393588
non-SST,1993,AI,315.028,0.785447,67.5714396752747,1468.7069161309312
non-SST,1993,BS,201.16320000000002,2.517907993291395,1.446311976807375,27979.186844298343
non-SST,1994,AI,261.03,0.501493,97.68119497007945,697.541230130024
non-SST,1994,BS,198.8029,2.3527573269840723,1.9756738316617406,20004.61433209726
non-SST,1995,AI,348.147,0.802237,72.25780034199866,1677.4152137945828
non-SST,1995,BS,216.5803,2.1259333224111274,3.3572831730295056,13971.721755529681
non-SST,1996,AI,464.338,0.80964,94.98493834672273,2269.936497268246
non-SST,1996,BS,225.37220000000002,1.872268837206221,5.743715707973705,8843.165489950572
non-SST,1997,AI,619.307,0.536,216.5975689813134,1770.7546859959882
non-SST,1997,BS,307.9511,1.5064290927292068,16.076201044480477,5899.02301724261
non-SST,1998,AI,767.494,0.793355,162.0905065834459,3634.0625521628117
non-SST,1998,BS,473.83849999999995,0.93334402044789,76.05922143558512,2951.9487557784096
non-SST,1999,AI,951.137,0.751878,217.88714190530501,4151.973286988049
non-SST,1999,BS,437.8587,0.64969756781379,122.54631285686713,1564.4717225365837
non-SST,2000,AI,1178.72,0.3082589999999999,644.1919514395756,2156.780809345959
non-SST,2000,BS,318.1216,0.701834124613833,80.38590222756125,1258.944038471734
non-SST,2001,AI,843.734,0.640936,240.23142247255467,2963.3386649797217
non-SST,2001,BS,271.6122,0.6698927645640622,73.06763325174857,1009.6561761438271
non-SST,2002,AI,603.948,0.285716,344.9794125605906,1057.3187077937191
non-SST,2002,BS,256.5171,0.48893076594825996,98.38526311952026,668.8097435128436
non-SST,2003,AI,869.989,0.649316,243.67154901800723,3106.1519622262795
non-SST,2003,BS,554.7218,0.5989286079433006,171.4971511748873,1794.293801892025
non-SST,2004,AI,1253.22,0.36519599999999997,612.5847854694778,2563.82529513256
non-SST,2004,BS,1838.8626,0.5655386890018498,606.9501587216052,5571.158707332572
non-SST,2005,AI,1959.5,0.7147390000000001,482.77764128513195,7953.227162258494
