Species,Variable,Value
SST,M,0.03
SST,Biomass,50979.7
SST,F_OFL,0.03
SST,maxF_ABC,0.0225
SST,F_ABC,0.0225
SST,OFL,1529.3909999999998
SST,maxABC,1147.04325
SST,ABC,1147.04325
SST,AI ABC,315.711
SST,EBS ABC,831.332025
non-SST,M,0.09
non-SST,Biomass,2798.95
non-SST,F_OFL,0.09
non-SST,maxF_ABC,0.0675
non-SST,F_ABC,0.0675
non-SST,OFL,251.90549999999996
non-SST,maxABC,188.929125
non-SST,ABC,188.929125
non-SST,AI ABC,64.2743775
non-SST,EBS ABC,124.6548285
All Other Rockfish,M,NA
All Other Rockfish,Biomass,53778.649999999994
All Other Rockfish,F_OFL,NA
All Other Rockfish,maxF_ABC,NA
All Other Rockfish,F_ABC,NA
All Other Rockfish,OFL,1781.2965
All Other Rockfish,maxABC,1335.9723749999998
All Other Rockfish,ABC,1335.9723749999998
All Other Rockfish,AI ABC,379.9853775
All Other Rockfish,EBS ABC,955.9868535
