year,AI,EBS Shelf,SBS,EBS Slope
1991,6646.9000000000005,841.52,248.3,NA
1992,NA,13.81,NA,NA
1993,NA,86.48,NA,NA
1994,6456.4000000000005,46.83,1172,NA
1995,NA,74.11,NA,NA
1996,NA,34.94,NA,NA
1997,9537.8,126.84,1683.3999999999999,NA
1998,NA,527.15,NA,NA
1999,NA,389.86,NA,NA
2000,11924.1,0,1106.7,NA
2001,NA,0,NA,NA
2002,14798,0,1111.1,16978.03666083917
2003,NA,54.28,NA,NA
2004,18565.9,0,6473.4,18824.079012228874
2005,NA,36.17,NA,NA
2006,23881.1,351.18,1706.1999999999998,NA
2007,NA,0,NA,NA
2008,NA,0,NA,26082.06626699985
2009,NA,119.68,NA,NA
2010,18662.899999999998,56.65,1172.3,29481.70407730126
2011,NA,54.74,NA,NA
2012,14693.600000000002,35.92,586.4,29616.542695171687
2013,NA,38.96,NA,NA
2014,23254,27.7,2799.3999999999996,NA
2015,NA,142.33,NA,NA
2016,18305.7,19.97,1825.2,35978.06396884947
2017,NA,169.56,NA,NA
2018,14130.1,1561.76,3243.3,NA
2019,NA,0,NA,NA
2021,NA,0,NA,NA
2022,14199.199999999999,43.29,1494.1999999999998,NA
