species_group,year,Model 20,Model 20.a,Model 22
SST,1982,24819,NA,NA
SST,1983,24819,22156.338234163417,16167.868707219033
SST,1984,24819,22572.133173705333,16690.04148637066
SST,1985,24819,23031.816251233522,17289.446939824742
SST,1986,24819,23539.924747603633,17977.01108674992
SST,1987,24819,23691.019526573342,18088.868839688486
SST,1988,24819,23845.95227372864,18202.816030788104
SST,1989,24819,24004.82114673491,18318.892124575676
SST,1990,24819,24167.726825290403,18437.137334935444
SST,1991,24819,24334.772576126776,18557.59263937383
SST,1992,24980.3,24568.10016664841,18760.974288993177
SST,1993,25146.5,24810.93793516204,18975.43077217769
SST,1994,25317.8,25063.78285763743,19202.017658551184
SST,1995,25931.8,25707.307471526405,19898.90593768167
SST,1996,26595.6,26406.55828553095,20662.362362576558
SST,1997,27313.4,27166.403414775334,21498.7812589777
SST,1998,28042.8,27908.645848609845,19833.11578209275
SST,1999,28829.6,28710.264770712416,18708.35661881552
SST,2000,29678.4,29576.076632444994,21773.744983150704
SST,2001,30825.1,30753.413755396916,25945.980287513135
SST,2002,32087.2,32052.18126637423,30575.091722945566
SST,2003,33942.5,33943.51151053295,32856.84515577659
SST,2004,35918.8,35960.483607659655,35895.60435297603
SST,2005,38023.1,38075.28563541978,37350.63923402348
SST,2006,40262.8,40327.437740064655,39218.079296803124
SST,2007,41904.8,41982.64885724798,40497.97944703634
SST,2008,43672.9,43766.89684906274,43438.56642270199
SST,2009,45082.2,45179.74670886643,44460.00841917333
SST,2010,46572.3,46674.34236710315,47855.689161636714
SST,2011,46612.6,46644.984567657586,51163.00484313428
SST,2012,46695.2,46660.187806959366,48021.282088674016
SST,2013,48105.4,48127.21770297729,52000.768484867665
SST,2014,49565.3,49646.98297052955,55449.30361940288
SST,2015,50668.1,50773.091754868256,58410.71343195704
SST,2016,51820.8,51951.1069495879,55043.4367697841
SST,2017,51246.3,51336.79059793725,55373.587950729976
SST,2018,50693.5,50747.292169124026,53858.14908974437
SST,2019,50693.5,50747.292169124026,53176.84937159528
SST,2020,50693.5,50747.292169124026,53176.84937159528
non-SST,1982,603.086,1265.0882208357712,1265.0882208357712
non-SST,1983,603.086,1265.0882208357712,1265.0882208357712
non-SST,1984,603.086,1023.4300299980854,1023.4300299980854
non-SST,1985,611.16,1024.022481063879,1024.022481063879
non-SST,1986,619.879,1224.296938513042,1224.296938513042
non-SST,1987,630.83,913.6702645760615,913.6702645760615
non-SST,1988,648.404,750.4535324088102,750.4535324088102
non-SST,1989,671.726,686.4208083315596,686.4208083315596
non-SST,1990,702.677,694.909133838533,694.909133838533
non-SST,1991,743.75,761.803184118433,761.803184118433
non-SST,1992,573.55,579.017123791115,579.017123791115
non-SST,1993,526.431,528.8729183306363,528.8729183306363
non-SST,1994,479.645,475.5546502732831,475.5546502732831
non-SST,1995,580.352,576.7209176307922,576.7209176307922
non-SST,1996,703.397,699.878222312881,699.878222312881
non-SST,1997,922.091,923.3306137742635,923.3306137742635
non-SST,1998,1195.01,1206.8334958043422,1206.8334958043422
non-SST,1999,1343.3,1355.6001852593492,1355.6001852593492
non-SST,2000,1454.94,1466.6472707240823,1466.6472707240823
non-SST,2001,1119.14,1118.153972769137,1118.153972769137
non-SST,2002,888.8,880.8719237881486,880.8719237881486
non-SST,2003,1385.29,1395.4024336798848,1395.4024336798848
non-SST,2004,2638.42,2748.8732330947178,2748.8732330947178
non-SST,2005,2830.16,2926.5927055134957,2926.5927055134957
non-SST,2006,3427.93,3576.3660257813485,3576.3660257813485
non-SST,2007,2403.44,2479.1608577151396,2479.1608577151396
non-SST,2008,1693.54,1727.3405689672175,1727.3405689672175
non-SST,2009,1220.38,1231.796179661464,1231.796179661464
non-SST,2010,888.375,888.8500880706971,888.8500880706971
non-SST,2011,699.342,695.2159720101813,695.2159720101813
non-SST,2012,561.818,555.1918566366718,555.1918566366718
non-SST,2013,1063.24,1075.8237074623005,1075.8237074623005
non-SST,2014,2302.82,2405.2530128549415,2405.2530128549415
non-SST,2015,2197.23,2249.2722782996398,2249.2722782996398
non-SST,2016,2080.34,2086.3104320364523,2086.3104320364523
non-SST,2017,2019.8,2027.191056315131,2027.191056315131
non-SST,2018,2553.91,2616.2692061362204,2616.2692061362204
non-SST,2019,2553.91,2616.2692061362204,2616.2692061362204
non-SST,2020,2553.91,2616.2692061362204,2616.2692061362204
Total,1982,25422.086,1265.0882208357712,1265.0882208357712
Total,1983,25422.086,23421.42645499919,17432.956928054806
Total,1984,25422.086,23595.56320370342,17713.471516368747
Total,1985,25430.16,24055.8387322974,18313.46942088862
Total,1986,25438.879,24764.221686116674,19201.308025262962
Total,1987,25449.83,24604.6897911494,19002.53910426455
Total,1988,25467.404,24596.40580613745,18953.269563196915
Total,1989,25490.726,24691.24195506647,19005.312932907236
Total,1990,25521.677,24862.635959128937,19132.046468773977
Total,1991,25562.75,25096.57576024521,19319.395823492265
Total,1992,25553.85,25147.117290439528,19339.991412784293
Total,1993,25672.931,25339.810853492676,19504.303690508325
Total,1994,25797.445,25539.337507910714,19677.572308824467
Total,1995,26512.152,26284.028389157196,20475.62685531246
Total,1996,27298.997,27106.43650784383,21362.240584889438
Total,1997,28235.491,28089.734028549596,22422.11187275196
Total,1998,29237.809999999998,29115.479344414187,21039.949277897093
Total,1999,30172.899999999998,30065.864955971767,20063.95680407487
Total,2000,31133.34,31042.723903169077,23240.392253874787
Total,2001,31944.239999999998,31871.567728166054,27064.134260282273
Total,2002,32976,32933.053190162376,31455.963646733715
Total,2003,35327.79,35338.913944212836,34252.24758945647
Total,2004,38557.22,38709.35684075437,38644.477586070745
Total,2005,40853.259999999995,41001.878340933275,40277.23193953698
Total,2006,43690.73,43903.803765846,42794.44532258447
Total,2007,44308.240000000005,44461.80971496312,42977.14030475148
Total,2008,45366.44,45494.23741802995,45165.9069916692
Total,2009,46302.579999999994,46411.54288852789,45691.804598834795
Total,2010,47460.675,47563.19245517385,48744.53924970741
Total,2011,47311.941999999995,47340.20053966777,51858.220815144465
Total,2012,47257.018,47215.37966359604,48576.47394531069
Total,2013,49168.64,49203.04141043959,53076.59219232997
Total,2014,51868.12,52052.23598338449,57854.55663225782
Total,2015,52865.33,53022.3640331679,60659.98571025668
Total,2016,53901.14,54037.41738162435,57129.74720182055
Total,2017,53266.100000000006,53363.981654252384,57400.77900704511
Total,2018,53247.41,53363.561375260244,56474.41829588059
Total,2019,53247.41,53363.561375260244,55793.1185777315
Total,2020,53247.41,53363.561375260244,55793.1185777315
