"","species","year","AI","SBS","EBS_SHELF","EBS_SLOPE"
"1","non-SST",1980,"    22 (0.72)","    13 (1.00)","",""
"2","non-SST",1982,"","","     0",""
"3","non-SST",1983,"   910 (0.03)","   236 (0.59)","     0",""
"4","non-SST",1984,"","","    18 (1.00)",""
"5","non-SST",1985,"","","    36 (1.00)",""
"6","non-SST",1986,"   112 (0.62)"," 2,830 (0.99)","     0",""
"7","non-SST",1987,"","","    50 (1.00)",""
"8","non-SST",1988,"","","     0",""
"9","non-SST",1989,"","","     0",""
"10","non-SST",1990,"","","     0",""
"11","non-SST",1991,"   494 (0.38)","    61 (0.83)","   857 (0.94)",""
"12","non-SST",1992,"","","    14 (1.00)",""
"13","non-SST",1993,"","","    86 (1.00)",""
"14","non-SST",1994,"   213 (0.61)","   101 (0.49)","    47 (1.00)",""
"15","non-SST",1995,"","","    76 (0.70)",""
"16","non-SST",1996,"","","    36 (1.00)",""
"17","non-SST",1997,"   643 (0.68)","   138 (0.46)","   126 (1.00)",""
"18","non-SST",1998,"","","   538 (0.68)",""
"19","non-SST",1999,"","","   398 (0.75)",""
"20","non-SST",2000," 1,276 (0.33)","    55 (0.36)","     0",""
"21","non-SST",2001,"","","     0",""
"22","non-SST",2002,"   554 (0.31)","    99 (0.36)","     0","    38 (0.42)"
"23","non-SST",2003,"","","    55 (0.70)",""
"24","non-SST",2004," 1,231 (0.41)"," 5,528 (0.78)","     0","    31 (0.35)"
"25","non-SST",2005,"","","    36 (1.00)",""
"26","non-SST",2006," 6,003 (0.88)","   738 (0.95)","   357 (0.85)",""
"27","non-SST",2007,"","","     0",""
"28","non-SST",2008,"","","     0","    27 (0.45)"
"29","non-SST",2009,"","","   122 (0.58)",""
"30","non-SST",2010,"   588 (0.32)","   120 (0.44)","    57 (0.92)","   147 (0.70)"
"31","non-SST",2011,"","","    56 (1.00)",""
"32","non-SST",2012,"   250 (0.30)","   135 (0.57)","    37 (1.00)","    52 (0.49)"
"33","non-SST",2013,"","","    40 (1.00)",""
"34","non-SST",2014," 5,643 (0.81)","   232 (0.50)","    28 (1.00)",""
"35","non-SST",2015,"","","   143 (1.00)",""
"36","non-SST",2016," 1,765 (0.33)","   218 (0.54)","    20 (1.00)","    30 (0.33)"
"37","non-SST",2017,"","","   169 (0.73)",""
"38","non-SST",2018,"   914 (0.32)"," 1,638 (0.77)"," 1,593 (0.70)",""
"39","non-SST",2019,"","","     0",""
"40","SST",1980,"   908 (0.18)","    22 (1.00)",NA,""
"41","SST",1982,"","",NA,""
"42","SST",1983," 3,101 (0.22)","   566 (0.22)",NA,""
"43","SST",1984,"","",NA,""
"44","SST",1985,"","",NA,""
"45","SST",1986," 6,437 (0.19)","   423 (0.36)",NA,""
"46","SST",1987,"","",NA,""
"47","SST",1988,"","",NA,""
"48","SST",1989,"","",NA,""
"49","SST",1990,"","",NA,""
"50","SST",1991," 6,153 (0.24)","   187 (0.58)",NA,""
"51","SST",1992,"","",NA,""
"52","SST",1993,"","",NA,""
"53","SST",1994," 6,244 (0.16)"," 1,071 (0.52)",NA,""
"54","SST",1995,"","",NA,""
"55","SST",1996,"","",NA,""
"56","SST",1997," 8,894 (0.18)"," 1,545 (0.69)",NA,""
"57","SST",1998,"","",NA,""
"58","SST",1999,"","",NA,""
"59","SST",2000,"10,648 (0.19)"," 1,051 (0.48)",NA,""
"60","SST",2001,"","",NA,""
"61","SST",2002,"14,244 (0.20)"," 1,012 (0.41)",NA,"16,940 (0.12)"
"62","SST",2003,"","",NA,""
"63","SST",2004,"17,335 (0.19)","   945 (0.56)",NA,"18,793 (0.09)"
"64","SST",2005,"","",NA,""
"65","SST",2006,"17,878 (0.12)","   968 (0.55)",NA,""
"66","SST",2007,"","",NA,""
"67","SST",2008,"","",NA,"26,055 (0.12)"
"68","SST",2009,"","",NA,""
"69","SST",2010,"18,075 (0.16)"," 1,052 (0.73)",NA,"29,334 (0.12)"
"70","SST",2011,"","",NA,""
"71","SST",2012,"14,443 (0.15)","   452 (0.77)",NA,"29,565 (0.11)"
"72","SST",2013,"","",NA,""
"73","SST",2014,"17,611 (0.24)"," 2,567 (0.67)",NA,""
"74","SST",2015,"","",NA,""
"75","SST",2016,"16,541 (0.16)"," 1,607 (0.53)",NA,"35,948 (0.11)"
"76","SST",2017,"","",NA,""
"77","SST",2018,"13,216 (0.20)"," 1,605 (0.68)",NA,""
"78","SST",2019,"","",NA,""
